class,catboost,lightgbm,logistic_regression,mlp,random_forest,stacking,xgboost,support
Benign,0.9933408285047133,0.9934946587023906,0.9845620167355154,0.992266721635226,0.9932676060085951,0.9935603065001695,0.9934726630337146,74769
Bot,0.9918341708542714,0.992462311557789,0.6541510221109721,0.9515975956975641,0.9902729839974898,0.9927741124725102,0.9927741124725102,1587
Brute Force -Web,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.4,4
Brute Force -XSS,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,2
DDOS attack-HOIC,0.999342710661233,0.9996055226824457,0.9631131955887945,0.997115132441647,0.9974976952456209,0.9982883475971034,0.9994739610731194,3804
DDOS attack-LOIC-UDP,1.0,0.9473684210526315,0.8235294117647058,0.0,0.9473684210526315,0.75,0.8888888888888888,10
DDoS attacks-LOIC-HTTP,0.9995305898920357,0.9992176498200595,0.9657843770174306,0.9920200281646064,0.9989047097480832,0.998592210229939,0.9989047097480832,3195
DoS attacks-GoldenEye,0.9934924078091106,0.9828326180257511,0.9668874172185431,0.991304347826087,0.9934924078091106,0.9956521739130435,0.9807280513918629,231
DoS attacks-Hulk,0.9974683544303797,1.0,0.9922420480993018,0.995334370139969,0.9996096799375488,1.0,1.0,2561
DoS attacks-SlowHTTPTest,0.6294881588999236,0.6281368821292775,0.6122448979591837,0.5751004016064257,0.6263982102908278,0.6263982102908278,0.6250927988121752,776
DoS attacks-Slowloris,0.8148148148148148,0.8148148148148148,0.7010309278350515,0.7070707070707071,0.8333333333333334,0.7272727272727273,0.7454545454545455,61
FTP-BruteForce,0.7968160871386678,0.7946241075178496,0.7506702412868632,0.7841697266421869,0.7872611464968153,0.7872611464968153,0.7850148999574287,1072
Infilteration,0.0771513353115727,0.07554671968190854,0.014752370916754479,0.018789144050104383,0.10028929604628736,0.0,0.12167300380228137,898
SQL Injection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SSH-Bruteforce,1.0,1.0,0.9923664122137404,1.0,1.0,1.0,1.0,1040
