class,catboost,lightgbm,logistic_regression,mlp,random_forest,stacking,xgboost,support
Benign,0.9932295823357276,0.993353249189948,0.9845620167355154,0.9922900022598269,0.9928809995874972,0.9936198210891497,0.9934056866802856,74769
Bot,0.9899434318038969,0.9927741124725102,0.6541510221109721,0.9576567971983445,0.9868421052631579,0.9924528301886792,0.9927741124725102,1587
Brute Force -Web,0.0,0.4,0.0,0.0,0.0,0.0,0.4,4
Brute Force -XSS,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,2
DDOS attack-HOIC,0.9989487516425756,0.9996055226824457,0.9631131955887945,0.9979002624671915,0.9951322194448099,0.9994739610731194,0.9994739610731194,3804
DDOS attack-LOIC-UDP,1.0,0.8888888888888888,0.8235294117647058,1.0,1.0,0.75,0.8888888888888888,10
DDoS attacks-LOIC-HTTP,0.998276672411092,0.9992176498200595,0.9657843770174306,0.990395213352228,0.9976514795678723,0.9989050524010636,0.9992176498200595,3195
DoS attacks-GoldenEye,0.9913419913419913,0.9762419006479481,0.9668874172185431,0.9934640522875817,0.9913419913419913,0.9912663755458515,0.9807280513918629,231
DoS attacks-Hulk,0.9968859478396264,1.0,0.9922420480993018,0.9943678384152262,0.9970800077866458,1.0,1.0,2561
DoS attacks-SlowHTTPTest,0.6290076335877862,0.6250927988121752,0.6122448979591837,0.6238670694864048,0.6268199233716475,0.6263982102908278,0.6312594840667678,776
DoS attacks-Slowloris,0.8037383177570093,0.7766990291262136,0.7010309278350515,0.7157894736842105,0.7647058823529411,0.7647058823529411,0.7567567567567568,61
FTP-BruteForce,0.7968160871386678,0.7850148999574287,0.7506702412868632,0.7900505902192243,0.7963195315767462,0.7872611464968153,0.7956265769554247,1072
Infilteration,0.05128205128205128,0.10246679316888045,0.014752370916754479,0.029504741833508957,0.10038610038610038,0.0,0.11687087653157399,898
SQL Injection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SSH-Bruteforce,1.0,1.0,0.9923664122137404,1.0,1.0,1.0,1.0,1040
