,Benign,Bot,Brute Force -Web,Brute Force -XSS,DDOS attack-HOIC,DDOS attack-LOIC-UDP,DDoS attacks-LOIC-HTTP,DoS attacks-GoldenEye,DoS attacks-Hulk,DoS attacks-SlowHTTPTest,DoS attacks-Slowloris,FTP-BruteForce,Infilteration,SQL Injection,SSH-Bruteforce
Benign,68232,26,5,1,0,0,1,2,1,1,5,0,6490,0,0
Bot,2,1585,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force -Web,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force -XSS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DDOS attack-HOIC,0,0,0,0,3803,0,0,0,0,0,0,0,0,0,0
DDOS attack-LOIC-UDP,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0
DDoS attacks-LOIC-HTTP,0,0,0,0,0,2,3192,0,0,0,0,0,0,0,0
DoS attacks-GoldenEye,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0
DoS attacks-Hulk,0,0,0,0,0,0,0,1,2560,0,0,0,0,0,0
DoS attacks-SlowHTTPTest,0,0,0,0,0,0,0,0,0,385,0,391,0,0,0
DoS attacks-Slowloris,1,0,0,0,0,0,0,0,0,0,60,0,0,0,0
FTP-BruteForce,0,0,0,0,0,0,0,0,0,126,0,946,0,0,0
Infilteration,518,1,0,0,0,0,0,0,0,0,0,0,379,0,0
SQL Injection,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSH-Bruteforce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040
