class,precision,recall,f1-score,support
Benign,0.974766342889352,0.9945565675614225,0.9845620167355154,74769.0
Bot,0.9679012345679012,0.49401386263390046,0.6541510221109721,1587.0
Brute Force -Web,0.0,0.0,0.0,4.0
Brute Force -XSS,1.0,0.5,0.6666666666666666,2.0
DDOS attack-HOIC,0.9299877600979192,0.9986855941114616,0.9631131955887945,3804.0
DDOS attack-LOIC-UDP,1.0,0.7,0.8235294117647058,10.0
DDoS attacks-LOIC-HTTP,0.9970009996667777,0.9364632237871674,0.9657843770174306,3195.0
DoS attacks-GoldenEye,0.9864864864864865,0.948051948051948,0.9668874172185431,231.0
DoS attacks-Hulk,0.9857418111753372,0.9988285825849278,0.9922420480993018,2561.0
DoS attacks-SlowHTTPTest,0.6484149855907781,0.5798969072164949,0.6122448979591837,776.0
DoS attacks-Slowloris,0.9444444444444444,0.5573770491803278,0.7010309278350515,61.0
FTP-BruteForce,0.7204116638078902,0.7835820895522388,0.7506702412868632,1072.0
Infilteration,0.13725490196078433,0.0077951002227171495,0.014752370916754479,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,0.9848484848484849,1.0,0.9923664122137404,1040.0
accuracy,0.9675817400095544,0.9675817400095544,0.9675817400095544,0.9675817400095544
macro avg,0.7518172743690771,0.633283394993507,0.6725334003609016,90011.0
weighted avg,0.9597313496198719,0.9675817400095544,0.9614842898295588,90011.0
