class,precision,recall,f1-score,support
Benign,0.9884221542211448,0.99800706222246,0.9931914836974969,74764.0
Bot,0.9675642594859241,0.996219281663516,0.9816827072337784,1587.0
Brute Force -Web,0.0,0.0,0.0,3.0
Brute Force -XSS,0.0,0.0,0.0,1.0
DDOS attack-HOIC,0.9919081179848603,0.9992111490928215,0.9955462405030129,3803.0
DDOS attack-LOIC-UDP,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
DDoS attacks-LOIC-HTTP,0.9981167608286252,0.9956167814652473,0.9968652037617555,3194.0
DoS attacks-GoldenEye,0.9956521739130435,0.9956521739130435,0.9956521739130435,230.0
DoS attacks-Hulk,0.9972730814179976,0.9996095275283092,0.9984399375975039,2561.0
DoS attacks-SlowHTTPTest,0.7610441767068273,0.4884020618556701,0.5949764521193093,776.0
DoS attacks-Slowloris,0.9672131147540983,0.9672131147540983,0.9672131147540983,61.0
FTP-BruteForce,0.705925925925926,0.8889925373134329,0.786952931461602,1072.0
Infilteration,0.49523809523809526,0.05790645879732739,0.1036889332003988,898.0
SQL Injection,0.0,0.0,0.0,1.0
SSH-Bruteforce,1.0,1.0,1.0,1040.0
accuracy,0.9828444444444444,0.9828444444444444,0.9828444444444444,0.9828444444444444
macro avg,0.7171497832910289,0.6850479358329876,0.6868732044753926,90000.0
weighted avg,0.9786243663281029,0.9828444444444444,0.9786042329840028,90000.0
